,block_soc_mq_1,block_soc_mq_2,block_soc_mq_3,block_soc_mq_4,block_soc_mq_5,block_soc_mq_6,block_soc_mq_7,block_soc_mq_8,block_soc_mq_9,block_soc_mq_10,block_soc_mq_11,block_soc_mq_12,block_soc_mq_13,block_soc_mq_14,block_soc_mq_15,block_soc_mq_16,block_soc_mq_17,block_soc_mq_18,block_soc_mq_19,block_soc_mq_20,block_soc_mq_21,block_soc_mq_22,block_soc_mq_23,block_soc_mq_24,block_soc_mq_25,block_soc_mq_26,block_soc_mq_27,block_soc_mq_28,block_soc_mq_29,block_soc_mq_30,block_soc_mq_31,block_soc_mq_32,block_soc_mq_33,block_soc_mq_34,block_soc_mq_35,block_soc_mq_36
Episode 11,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999
Episode 12,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0
Episode 13,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999
Episode 14,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999
Episode 15,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999
Episode 16,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999
Episode 17,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999
Episode 18,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999
Episode 19,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999
Episode 20,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999
